St_Id,St_Fname,St_Lname,St_Address,St_Age,Dept_Id,St_super
1,Ahmed,Hassan    ,Cairo,20,10,
2,Amr,Magdy     ,Cairo,21,10,1
3,Mona,Saleh     ,Cairo,22,10,1
4,Ahmed,Mohamed   ,Alex,23,10,1
5,Khalid,Moahmed   ,Alex,24,10,1
6,Heba,Farouk    ,Mansoura,25,20,
7,Ali,Hussien   ,Cairo,25,20,6
8,Mohamed,Fars      ,Alex,28,20,6
9,Saly,Ahmed     ,Mansoura,24,30,
10,Fady,Ali       ,Alex,24,30,9
11,Marwa,Ahmed     ,Cairo,24,30,9
12,Noha,Omar      ,Cairo,21,40,
13,Said,,,,40,12
14,,Saleh     ,Tanta,30,,
15,ahmed,alaa      ,,,,
16,,,tala,44,20,
17,akaa,ader      ,octon,32,20,9
19,akaa,ader      ,octon,32,20,9
20,ahmed,fathy     ,cairo,24,20,9
22,hafsa,ebrahim   ,cairo,24,20,9
33,ahmed,fathy     ,cairo,24,20,9
37,ahmed,fathy     ,cairo,24,20,9
38,ahmed,fathy     ,cairo,24,20,9
40,ahmed,fathy     ,cairo,24,20,9
41,ahmed,fathy     ,cairo,24,20,9
3000,Jane,Smith     ,,,,
3001,Jane,Smith     ,,,,
3002,Jane,Smith     ,,,,
3003,Jane,Smith     ,,,,
3004,Jane,Smith     ,,,,
3005,Jane,Smith     ,,,,
3006,Jane,Smith     ,,,,
3007,Jane,Smith     ,,,,
3008,Jane,Smith     ,,,,
3009,Jane,Smith     ,,,,
3010,Jane,Smith     ,,,,
3011,Jane,Smith     ,,,,
3012,Jane,Smith     ,,,,
3013,Jane,Smith     ,,,,
3014,Jane,Smith     ,,,,
3015,Jane,Smith     ,,,,
3016,Jane,Smith     ,,,,
3017,Jane,Smith     ,,,,
3018,Jane,Smith     ,,,,
3019,Jane,Smith     ,,,,
3020,Jane,Smith     ,,,,
3021,Jane,Smith     ,,,,
3022,Jane,Smith     ,,,,
3023,Jane,Smith     ,,,,
3024,Jane,Smith     ,,,,
3025,Jane,Smith     ,,,,
3026,Jane,Smith     ,,,,
3027,Jane,Smith     ,,,,
3028,Jane,Smith     ,,,,
3029,Jane,Smith     ,,,,
3030,Jane,Smith     ,,,,
3031,Jane,Smith     ,,,,
3032,Jane,Smith     ,,,,
3033,Jane,Smith     ,,,,
3034,Jane,Smith     ,,,,
3035,Jane,Smith     ,,,,
3036,Jane,Smith     ,,,,
3037,Jane,Smith     ,,,,
3038,Jane,Smith     ,,,,
3039,Jane,Smith     ,,,,
3040,Jane,Smith     ,,,,
3041,Jane,Smith     ,,,,
3042,Jane,Smith     ,,,,
3043,Jane,Smith     ,,,,
3044,Jane,Smith     ,,,,
3045,Jane,Smith     ,,,,
3046,Jane,Smith     ,,,,
3047,Jane,Smith     ,,,,
3048,Jane,Smith     ,,,,
3049,Jane,Smith     ,,,,
3050,Jane,Smith     ,,,,
3051,Jane,Smith     ,,,,
3052,Jane,Smith     ,,,,
3053,Jane,Smith     ,,,,
3054,Jane,Smith     ,,,,
3055,Jane,Smith     ,,,,
3056,Jane,Smith     ,,,,
3057,Jane,Smith     ,,,,
3058,Jane,Smith     ,,,,
3059,Jane,Smith     ,,,,
3060,Jane,Smith     ,,,,
3061,Jane,Smith     ,,,,
3062,Jane,Smith     ,,,,
3063,Jane,Smith     ,,,,
3064,Jane,Smith     ,,,,
3065,Jane,Smith     ,,,,
3066,Jane,Smith     ,,,,
3067,Jane,Smith     ,,,,
